case_number, has_facts_header
2024_SGHC_69,True
2024_SGHC_72,True
2024_SGHC_66,False
2024_SGHC_65,True
2024_SGHCA_8,True
2024_SGHC_60,False
2024_SGHC_61,True
2024_SGHC_63,False
2024_SGHCF_16,False
2024_SGHC_64,True
2024_SGHC_62,True
2024_SGHC_59,True
2024_SGCA_7,True
2024_SGHCA_7,False
2024_SGHC_58,True
2024_SGHCR_4,True
2024_SGCA_6,False
2024_SGCA_5,True
2024_SGHC_56,True
2024_SGHC_54,True
2024_SGHC_55,True
2024_SGHC_57,True
2024_SGHC_53,True
2024_SGHC_50,True
2024_SGHC_51,True
2024_SGHCF_15,False
2024_SGHC_52,True
2024_SGHC_48,True
2024_SGHC_49,True
2024_SGHCF_14,False
2024_SGHC_47,True
2024_SGHC_46,True
2024_SGHC_45,True
2024_SGHCA_6,True
2024_SGHCR_3,True
2024_SGHCA_5,True
2024_SGHC_44,True
2024_SGHCI_6,False
2024_SGHC_43,False
2024_SGHCF_12,False
2024_SGHCF_13,False
2024_SGCA_4,False
2024_SGHC_41,True
2024_SGHC_42,True
2024_SGHC_37,True
2024_SGHC_39,True
2024_SGHC_40,True
2024_SGHC_36,True
2024_SGHC_38,True
2024_SGHCI_5,False
2024_SGCA_3,True
2024_SGCA_1,True
2024_SGHCF_10,False
2024_SGHCF_11,False
2024_SGHC_35,False
2024_SGHC_33,True
2024_SGHC_34,False
2024_SGHCF_8,False
2024_SGHCF_9,False
2024_SGHC_31,True
2024_SGHC_32,True
2024_SGHC_30,False
2024_SGHCI_4,False
2024_SGHC_112,True
2024_SGHCI_3,True
2024_SGHC_25,True
2024_SGHCA_4,True
2024_SGHCF_7,False
2024_SGHC_28,True
2024_SGHC_26,False
2024_SGHC_29,True
2024_SGHC_11,True
2024_SGHCA_3,True
2024_SGHC_24,True
2024_SGHC_27,True
2024_SGHCF_5,False
2024_SGHC_23,True
2024_SGHC_20,True
2024_SGHC_22,False
2024_SGHCF_4,False
2024_SGHC_21,True
2024_SGCA_2,True
2024_SGHC_19,False
2024_SGHC_17,False
2024_SGHCF_3,False
2024_SGHC_18,True
2024_SGHC_16,True
2024_SGHC_9,True
2024_SGHCI_2,True
